Item Name,Category,Manufacturer,Model No,Quantity,Status,Notes
Logitech Pebble Keys 2 K380s Keyboard,Keyboard,Logitech,K380s,16,Ready to Deploy,Wireless keyboard
Logitech Lift Vertical Ergonomic Mouse,Mouse,Logitech,Lift,5,Ready to Deploy,Ergonomic vertical mouse
Logitech Triathlon M720 Mouse,Mouse,Logitech,M720,6,Ready to Deploy,Wireless multi-device mouse
Anker 100W Charging Solution,Power Adapter,Anker,100W,20,Ready to Deploy,USB-C charging adapter
Apple EarPods,Audio,Apple,EarPods,21,Ready to Deploy,Wired earphones
Apple Magic Mouse,Mouse,Apple,Magic Mouse,10,Ready to Deploy,Wireless mouse
Apple USB-C Digital AV Multiport Adapter,Adapter,Apple,A1621,4,Ready to Deploy,Multi-port adapter
Apple Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD,2,Ready to Deploy,Full-size keyboard with Touch ID
Apple Compact Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD Compact,11,Ready to Deploy,Compact keyboard with Touch ID
LG UHD 4K Monitor (27UP850),Monitor,LG,27UP850,2,Ready to Deploy,27-inch 4K UHD monitor
Laptop Bags,Accessories,Generic,Laptop Bag,52,Ready to Deploy,Standard laptop carrying bag
